Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2014,I,Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,ZA,US,,1,,trophies,,H,W
2014,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,AR,US,,,3,trophies,,H,F
2014,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,ES,US,,1,1,trophies,,H,F
2014,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,,3,3,trophies,,H,F
2014,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,ZA,US,,,1,trophies,,H,F
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CA,US,,,1,trophies,,H,F
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,PK,,2,,trophies,,H,W
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,US,,2,2,trophies,,H,F
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DK,PK,,2,1,trophies,,H,W
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,ES,US,,,1,trophies,,H,F
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,PK,,4,2,trophies,,H,W
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,TJ,,1,,trophies,,H,W
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,US,XX,1,,trophies,,H,W
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,RU,PK,,,1,trophies,,H,W
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,US,PK,,3,3,trophies,,H,W
2014,I,Capra falconeri jerdoni,Mammalia,Artiodactyla,Bovidae,Capra,DK,PK,,,1,trophies,,H,W
2014,I,Capra falconeri jerdoni,Mammalia,Artiodactyla,Bovidae,Capra,ES,PK,,1,1,trophies,,H,W
2014,I,Capra falconeri jerdoni,Mammalia,Artiodactyla,Bovidae,Capra,MX,PK,,5,3,trophies,,H,W
2014,I,Capra falconeri jerdoni,Mammalia,Artiodactyla,Bovidae,Capra,US,AT,PK,1,,trophies,,H,W
2014,I,Capra falconeri jerdoni,Mammalia,Artiodactyla,Bovidae,Capra,US,CA,PK,,1,skins,,H,W
2014,I,Capra falconeri jerdoni,Mammalia,Artiodactyla,Bovidae,Capra,US,CA,PK,,1,skulls,,H,W
2014,I,Capra falconeri jerdoni,Mammalia,Artiodactyla,Bovidae,Capra,US,CA,PK,1,,trophies,,H,W
2014,I,Capra falconeri jerdoni,Mammalia,Artiodactyla,Bovidae,Capra,US,PK,,2,2,trophies,,H,W
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,US,,,4,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BE,ZA,,2,1,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,bodies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,skins,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,2,,trophies,,H,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,3,,bodies,,H,W
